Ligne;Voy.;Début;Fin;De;À;Js srv
C00M2;45;10:29;11:08;MB009;MB013;12345
C0063;46;14:15;15:03;JUMA2;FOMET;12345
C0091;46;15:36;16:45;PTPLA;MYVES;12345
C00M1;46;16:17;16:53;MB010;MB008;12345
C0063;47;15:09;16:00;FOMET;JUMA1;12345
C0091;47;15:47;16:09;THHTT;LBBO2;12*45
C00M1;47;10:44;11:16;MB009;MB101;12345
C0091;48;15:58;17:18;CPCEC;MYVES;12345
C00M1;48;16:47;17:23;MB010;MB008;12345
C0091;49;15:31;16:57;MYVES;CPCEC;12345
C00M2;49;10:59;11:38;MB009;MB013;12345
C0091;50;16:36;17:43;PTPLA;MYVES;12345
C00M1;50;17:17;17:53;MB010;MB008;12345
C0091;51;15:59;17:22;MYVES;CPPLA;12*45
C00M1;51;11:14;11:46;MB009;MB101;12345
C0091;52;16:58;18:15;CPCEC;MYVES;12345
C00M1;52;17:47;18:23;MB010;MB008;12345
C0063;53;16:10;16:46;FOMET;GPCHE;12*45
C0091;53;16:21;16:55;THHTT;ANJON;12*45
C00M2;53;11:29;12:08;MB009;MB013;12345
C0091;54;17:55;19:11;CPCEC;MYVES;12345
C00M1;54;18:17;18:53;MB010;MB008;12345
C0041;55;17:55;18:40;CHPA9;JUMA1;12345
C0091;55;16:14;16:53;THHTT;ANJON;12*45
C00M1;55;11:44;12:16;MB009;MB101;12345
C0091;56;19:08;20:23;CPCEC;MYVES;12345
C0091;57;16:01;17:27;MYVES;CPCEC;12345
C00M2;57;11:59;12:38;MB009;MB013;12345
C0091;58;20:23;21:23;PTPLA;MYVES;12345
C00M1;59;12:14;12:46;MB009;MB101;12345
C0091;60;21:01;22:01;PTPLA;MYVES;12345
C0091;61;16:45;18:04;MYVES;CPCEC;12345
C00M2;61;12:29;13:08;MB009;MB013;12345
C0041;62;16:30;17:32;JUMA2;CHPA0;12345
C0091;63;17:41;18:00;LBGAR;ANJON;12*45
C00M1;63;12:44;13:16;MB009;MB101;12345
C0091;65;17:08;18:26;MYVES;CPCEC;12345
C00M2;65;12:59;13:38;MB009;MB013;12345
C0091;67;17:39;18:56;MYVES;CPCEC;12345
C00M1;67;13:14;13:46;MB009;MB101;12345
C0063;68;19:15;20:00;JUMA2;FOMET;12345
C00M2;68;06:09;06:41;MB002;MB008;12345
C0091;69;18:18;19:22;MYVES;PTPLA;12345
C00M2;69;13:29;14:08;MB009;MB013;12345
C00M2;70;06:39;07:11;MB002;MB008;12345
C0063;71;06:53;07:24;SOFOR;JUMA1;12345
C0091;71;19:23;20:20;MYVES;PTPLA;12345
C00M1;71;13:44;14:16;MB009;MB101;12345
C00M2;72;07:09;07:41;MB002;MB008;12345
C0091;73;20:23;21:20;MYVES;PTPLA;12345
C00M2;73;13:59;14:38;MB009;MB013;12345
C00M2;74;07:39;08:11;MB002;MB008;12345
C0091;75;21:23;22:02;MYVES;ANJON;12345
C00M1;75;14:14;14:46;MB009;MB101;12345
C00M2;76;08:09;08:41;MB002;MB008;12345
C00M2;77;14:29;15:08;MB009;MB013;12345
C00M2;78;08:39;09:11;MB002;MB008;12345
C00M1;79;14:44;15:16;MB009;MB101;12345
C00M2;80;09:09;09:41;MB002;MB008;12345
C00M2;81;14:59;15:38;MB009;MB013;12345
C00M2;82;09:39;10:11;MB002;MB008;12345
C00M1;83;15:14;15:46;MB009;MB101;12345
C00M2;84;10:09;10:41;MB002;MB008;12345
C00M2;85;15:29;16:08;MB009;MB013;12345
C00M2;86;10:39;11:11;MB002;MB008;12345
C00M1;87;15:44;16:16;MB009;MB101;12345
C00M2;88;11:09;11:41;MB002;MB008;12345
C00M2;89;15:59;16:38;MB009;MB013;12345
C00M2;90;11:39;12:11;MB002;MB008;12345
C00M1;91;16:14;16:46;MB009;MB101;12345
C00M2;92;12:09;12:41;MB002;MB008;12345
C00M2;93;16:29;17:08;MB009;MB013;12345
C00M2;94;12:39;13:11;MB002;MB008;12345
C00M1;95;16:44;17:16;MB009;MB101;12345
C00M2;96;13:09;13:41;MB002;MB008;12345
C00M2;97;16:59;17:38;MB009;MB013;12345
C00M2;98;13:39;14:11;MB002;MB008;12345
C00M1;99;17:14;17:46;MB009;MB101;12345
C00M2;100;14:09;14:41;MB002;MB008;12345
C00M2;101;17:29;18:08;MB009;MB013;12345
C00M2;102;14:39;15:11;MB002;MB008;12345
C00M1;103;17:44;18:16;MB009;MB101;12345
C00M2;104;15:09;15:41;MB002;MB008;12345
C00M2;105;17:59;18:38;MB009;MB013;12345
C00M2;106;15:39;16:11;MB002;MB008;12345
C00M2;107;18:23;19:02;MB009;MB013;12345
C00M2;108;16:09;16:41;MB002;MB008;12345
C00M2;109;18:53;19:32;MB009;MB013;12345
C00M2;110;16:39;17:11;MB002;MB008;12345
C00M2;111;19:25;20:04;MB009;MB013;12345
C0091;112;07:24;08:00;ANJON;THHTT;12345
C00M2;112;17:09;17:41;MB002;MB008;12345
C00M2;114;17:39;18:11;MB002;MB008;12345
C00M2;116;18:09;18:41;MB002;MB008;12345
C00M2;118;18:39;19:11;MB002;MB008;12345
C00M2;120;19:10;19:42;MB002;MB008;12345
C00M2;122;19:40;20:12;MB002;MB008;12345
C00M2;124;20:10;20:42;MB002;MB008;12345
C0091;393;15:19;15:58;THHTT;ANJON;12*45
C00M2;400;08:00;08:29;MB002;MJONC;12345
C00M2;401;07:24;08:00;MJONC;MB013;12345
C00M2;501;07:10;07:46;MJONC;MB013;12345
C109a;515;15:07;15:43;BMIND;CEN03;****5
C00M2;520;07:47;08:16;MB002;MJONC;12345
C00M1;521;15:44;16:13;MJONC;MB101;12*45
C00M1;522;16:14;16:47;MB010;MJONC;12*45
